dataset_index,source_path,true_class,predicted_class,confidence,confusion_pair
1953,DCID/noise-512-7/test/5.Granite/5.Granite_noise_57.jpg,5.Granite,7.Marble,0.7392964959144592,5.Granite -> 7.Marble
1171,DCID/noise-512-7/test/3.Gray siltstone/3.Gray siltstone_noise_73.jpg,3.Gray siltstone,7.Marble,0.7326292991638184,3.Gray siltstone -> 7.Marble
496,DCID/noise-512-7/test/2.Light sandstone/2.Light sandstone_noise_186.jpg,2.Light sandstone,1.Red sandstone,0.7249437570571899,2.Light sandstone -> 1.Red sandstone
2375,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_77.jpg,6.Basalt,7.Marble,0.7156391143798828,6.Basalt -> 7.Marble
1371,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_253.jpg,4.Mudstone,2.Light sandstone,0.7031992077827454,4.Mudstone -> 2.Light sandstone
2324,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_391.jpg,6.Basalt,4.Mudstone,0.6915760040283203,6.Basalt -> 4.Mudstone
2327,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_394.jpg,6.Basalt,4.Mudstone,0.6901150941848755,6.Basalt -> 4.Mudstone
1957,DCID/noise-512-7/test/5.Granite/5.Granite_noise_60.jpg,5.Granite,1.Red sandstone,0.6441889405250549,5.Granite -> 1.Red sandstone
2133,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_219.jpg,6.Basalt,1.Red sandstone,0.6367264986038208,6.Basalt -> 1.Red sandstone
1778,DCID/noise-512-7/test/5.Granite/5.Granite_noise_26.jpg,5.Granite,7.Marble,0.6145627498626709,5.Granite -> 7.Marble
1067,DCID/noise-512-7/test/3.Gray siltstone/3.Gray siltstone_noise_34.jpg,3.Gray siltstone,4.Mudstone,0.6053802967071533,3.Gray siltstone -> 4.Mudstone
2037,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_132.jpg,6.Basalt,7.Marble,0.5878947377204895,6.Basalt -> 7.Marble
469,DCID/noise-512-7/test/2.Light sandstone/2.Light sandstone_noise_161.jpg,2.Light sandstone,1.Red sandstone,0.5759842991828918,2.Light sandstone -> 1.Red sandstone
2046,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_140.jpg,6.Basalt,2.Light sandstone,0.5722153782844543,6.Basalt -> 2.Light sandstone
2154,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_238.jpg,6.Basalt,7.Marble,0.5656390190124512,6.Basalt -> 7.Marble
2302,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_371.jpg,6.Basalt,7.Marble,0.5653898119926453,6.Basalt -> 7.Marble
2313,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_381.jpg,6.Basalt,7.Marble,0.5636178255081177,6.Basalt -> 7.Marble
1409,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_288.jpg,4.Mudstone,7.Marble,0.5472750663757324,4.Mudstone -> 7.Marble
1188,DCID/noise-512-7/test/3.Gray siltstone/3.Gray siltstone_noise_89.jpg,3.Gray siltstone,4.Mudstone,0.532569169998169,3.Gray siltstone -> 4.Mudstone
1319,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_206.jpg,4.Mudstone,3.Gray siltstone,0.5284155011177063,4.Mudstone -> 3.Gray siltstone
363,DCID/noise-512-7/test/1.Red sandstone/1.Red sandstone_noise_66.jpg,1.Red sandstone,2.Light sandstone,0.5226411819458008,1.Red sandstone -> 2.Light sandstone
1813,DCID/noise-512-7/test/5.Granite/5.Granite_noise_291.jpg,5.Granite,7.Marble,0.5178738236427307,5.Granite -> 7.Marble
2178,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_26.jpg,6.Basalt,2.Light sandstone,0.48093876242637634,6.Basalt -> 2.Light sandstone
2116,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_203.jpg,6.Basalt,5.Granite,0.4681446850299835,6.Basalt -> 5.Granite
2153,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_237.jpg,6.Basalt,2.Light sandstone,0.46803176403045654,6.Basalt -> 2.Light sandstone
1603,DCID/noise-512-7/test/5.Granite/5.Granite_noise_101.jpg,5.Granite,1.Red sandstone,0.4556475579738617,5.Granite -> 1.Red sandstone
1668,DCID/noise-512-7/test/5.Granite/5.Granite_noise_160.jpg,5.Granite,1.Red sandstone,0.44515618681907654,5.Granite -> 1.Red sandstone
2247,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_321.jpg,6.Basalt,7.Marble,0.40996384620666504,6.Basalt -> 7.Marble
1665,DCID/noise-512-7/test/5.Granite/5.Granite_noise_158.jpg,5.Granite,1.Red sandstone,0.37619054317474365,5.Granite -> 1.Red sandstone
1999,DCID/noise-512-7/test/5.Granite/5.Granite_noise_99.jpg,5.Granite,1.Red sandstone,0.3327065706253052,5.Granite -> 1.Red sandstone
